#;Заказной код;Параметр:Заказной код:Подсоединение;Параметр:Заказной код:Давление;Параметр:Заказной код:Cv;Параметр:Заказной код:Ø;Параметр:Заказной код:Температура минимальная;Параметр:Заказной код:Температура максимальная;Параметр:Заказной код:Материал седла;Параметр:Заказной код:Форма корпуса;Условное обозначение:Заказной код:Подсоединение
;HB3-B3-F-6N-PK;NPT 3/8;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 внутр.
;HB3-B3-F-8N-PK;NPT 1/2;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 внутр.
;HB1-B3-M-4N-PK;NPT 1/4;414 бар;0,63;4,2;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/4 наруж.
;HB2-B3-M-6N-PK;NPT 3/8;414 бар;0,87;6,4;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 наруж.
;HB3-B3-M-8N-PK;NPT 1/2;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 наруж.
;HB2-B3-F-4R-PK;RT 1/4;414 бар;0,87;6,4;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 внутр.
;HB3-B3-F-6R-PK;RT 3/8;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 внутр.
;HB3-B3-F-8R-PK;RT 1/2;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 внутр.
;HB1-B3-M-4R-PK;RT 1/4;414 бар;0,63;4,2;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 наруж.
;HB2-B3-M-6R-PK;RT 3/8;414 бар;0,87;6,4;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 наруж.
;HB3-B3-M-8R-PK;RT 1/2;414 бар;3,62;10,3;-54°C;232°C;PEEK;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 наруж.
