#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H1B-A-M-8R-ML,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-8R-PC-ML,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-8R-PK-ML,наруж.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-10M,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-10M-PC,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-10M-PK,,690 бар,"3,7","7,1",Hy-Lok 10мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-12M,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-12M-PC,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-12M-PK,,690 бар,"7,5",10,Hy-Lok 12мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-14M,,414 бар,"7,5",10,Hy-Lok 14мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-14M-PC,,414 бар,"7,5",10,Hy-Lok 14мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-14M-PK,,690 бар,"7,5",10,Hy-Lok 14мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-4T,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-4T-PC,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-4T-PK,,690 бар,"1,2","4,8",Hy-Lok 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6M,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6M-PC,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6M-PK,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6T,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6T-PC,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6T-PK,,690 бар,"3,7","7,1",Hy-Lok 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6T-PK-ML,,690 бар,"3,7","7,1",Hy-Lok 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-8M,,414 бар,"2,7",6,Hy-Lok 8мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8M-PC,,414 бар,"2,7",6,Hy-Lok 8мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8M-PK,,690 бар,"2,7",6,Hy-Lok 8мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8T,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8T-ML,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-8T-PC,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8T-PC-ML,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-8T-PK,,690 бар,"7,5",10,Hy-Lok 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8T-PK-ML,,690 бар,"7,5",10,Hy-Lok 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4G-ML,внутр.,414 бар,"7,5",10,G 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4G-PC-ML,внутр.,414 бар,"7,5",10,G 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4G-PK-ML,внутр.,690 бар,"7,5",10,G 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4N-ML,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4N-PC-ML,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4N-PK-ML,внутр.,690 бар,"7,5",10,NPT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4R-ML,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4R-PC-ML,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-4R-PK-ML,внутр.,690 бар,"7,5",10,RT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6N-ML,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6N-PC-ML,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6N-PK-ML,внутр.,690 бар,"7,5",10,NPT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6R-ML,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6R-PC-ML,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-6R-PK-ML,внутр.,690 бар,"7,5",10,RT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8G-ML,внутр.,414 бар,"7,5",10,G 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8G-PC-ML,внутр.,414 бар,"7,5",10,G 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8G-PK-ML,внутр.,690 бар,"7,5",10,G 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8N-ML,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8N-PC-ML,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8N-PK-ML,внутр.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8R,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8R-ML,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8R-PC,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8R-PC-ML,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-F-8R-PK,внутр.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8R-PK-ML,внутр.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4N-ML,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4N-PC-ML,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4N-PK-ML,наруж.,690 бар,"3,7","7,1",NPT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4R,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-4R-ML,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4R-PC,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-4R-PC-ML,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-4R-PK,наруж.,690 бар,"3,7","7,1",NPT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-4R-PK-ML,наруж.,690 бар,"3,7","7,1",RT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6N-ML,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6N-PC-ML,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6N-PK-ML,наруж.,690 бар,"7,2","9,7",NPT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6R,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6R-ML,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6R-PC,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6R-PC-ML,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-6R-PK,наруж.,690 бар,"7,2","9,7",RT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6R-PK-ML,наруж.,690 бар,"7,2","9,7",RT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8N-ML,наруж.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8N-PC-ML,наруж.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8N-PK-ML,наруж.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8R,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-8R-ML,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8R-PC,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-8R-PC-ML,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-M-8R-PK,наруж.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-8R-PK-ML,наруж.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-3B-H-12T-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
