,"Код","Параметр:Код:Подсоед. инструмента","Параметр:Код:Подсоед. к процессу","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT123-D-C-6-2-S-T-1","FNPT 3/8","ANSI 300# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-6-2-S-T-2","FNPT 3/8","ANSI 300# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-6-2-S-T-3","FNPT 3/8","ANSI 300# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-6-G10-S-T-1","FNPT 3/8","Гост Py10 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-6-G10-S-T-2","FNPT 3/8","Гост Py10 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-6-G10-S-T-3","FNPT 3/8","Гост Py10 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-6-G16-S-T-1","FNPT 3/8","Гост Py16 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-6-G16-S-T-2","FNPT 3/8","Гост Py16 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-6-G16-S-T-3","FNPT 3/8","Гост Py16 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-6-G25-S-T-1","FNPT 3/8","Гост Py25 Dy80","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
